State,Capital or Center,State Abbreviations,Point Name,Latitude,Longitude
Alabama,Center,AL,Center of Alabama,32.7794,-86.8287
Alabama,Capital,AL,Montgomery,32.361538,-86.279118
Alaska,Center,AK,Center of Alaska,64.0685,-152.2782
Alaska,Capital,AK,Juneau,58.301935,-134.41974
Arizona,Center,AZ,Center of Arizona,34.2744,-111.6602
Arizona,Capital,AZ,Phoenix,33.448457,-112.073844
Arkansas,Center,AR,Center of Arkansas,34.8938,-92.4426
Arkansas,Capital,AR,Little Rock,34.736009,-92.331122
California,Center,CA,Center of California,37.1841,-119.4696
California,Capital,CA,Sacramento,38.555605,-121.468926
Colorado,Center,CO,Center of Colorado,38.9972,-105.5478
Colorado,Capital,CO,Denver,39.7391667,-104.984167
Connecticut,Center,CT,Center of Connecticut,41.6219,-72.7273
Connecticut,Capital,CT,Hartford,41.767,-72.677
Delaware,Center,DE,Center of Delaware,38.9896,-75.505
Delaware,Capital,DE,Dover,39.161921,-75.526755
Florida,Center,FL,Center of Florida,28.6305,-82.4497
Florida,Capital,FL,Tallahassee,30.4518,-84.27277
Georgia,Center,GA,Center of Georgia,32.6415,-83.4426
Georgia,Capital,GA,Atlanta,33.76,-84.39
Hawaii,Center,HI,Center of Hawaii,20.2927,-156.3737
Hawaii,Capital,HI,Honolulu,21.30895,-157.826182
Idaho,Center,ID,Center of Idaho,44.3509,-114.613
Idaho,Capital,ID,Boise,43.613739,-116.237651
Illinois,Center,IL,Center of Illinois,40.0417,-89.1965
Illinois,Capital,IL,Springfield,39.78325,-89.650373
Indiana,Center,IN,Center of Indiana,39.8942,-86.2816
Indiana,Capital,IN,Indianapolis,39.790942,-86.147685
Iowa,Center,IA,Center of Iowa,42.0751,-93.496
Iowa,Capital,IA,Des Moines,41.590939,-93.620866
Kansas,Center,KS,Center of Kansas,38.4937,-98.3804
Kansas,Capital,KS,Topeka,39.04,-95.69
Kentucky,Center,KY,Center of Kentucky,37.5347,-85.3021
Kentucky,Capital,KY,Frankfort,38.197274,-84.86311
Louisiana,Center,LA,Center of Louisiana,31.0689,-91.9968
Louisiana,Capital,LA,Baton Rouge,30.45809,-91.140229
Maine,Center,ME,Center of Maine,45.3695,-69.2428
Maine,Capital,ME,Augusta,44.323535,-69.765261
Maryland,Center,MD,Center of Maryland,39.055,-76.7909
Maryland,Capital,MD,Annapolis,38.972945,-76.501157
Massachusetts,Center,MA,Center of Massachusetts,42.2596,-71.8083
Massachusetts,Capital,MA,Boston,42.2352,-71.0275
Michigan,Center,MI,Center of Michigan,44.3467,-85.4102
Michigan,Capital,MI,Lansing,42.7335,-84.5467
Minnesota,Center,MN,Center of Minnesota,46.2807,-94.3053
Minnesota,Capital,MN,Saint Paul,44.95,-93.094
Mississippi,Center,MS,Center of Mississippi,32.7364,-89.6678
Mississippi,Capital,MS,Jackson,32.32,-90.207
Missouri,Center,MO,Center of Missouri,38.3566,-92.458
Missouri,Capital,MO,Jefferson City,38.572954,-92.189283
Montana,Center,MT,Center of Montana,47.0527,-109.6333
Montana,Capital,MT,Helena,46.595805,-112.027031
Nebraska,Center,NE,Center of Nebraska,41.5378,-99.7951
Nebraska,Capital,NE,Lincoln,40.809868,-96.675345
Nevada,Center,NV,Center of Nevada,39.3289,-116.6312
Nevada,Capital,NV,Carson City,39.160949,-119.753877
New Hampshire,Center,NH,Center of New Hampshire,43.6805,-71.5811
New Hampshire,Capital,NH,Concord,43.220093,-71.549127
New Jersey,Center,NJ,Center of New Jersey,40.1907,-74.6728
New Jersey,Capital,NJ,Trenton,40.221741,-74.756138
New Mexico,Center,NM,Center of New Mexico,34.4071,-106.1126
New Mexico,Capital,NM,Santa Fe,35.667231,-105.964575
New York,Center,NY,Center of New York,42.9538,-75.5268
New York,Capital,NY,Albany,42.659829,-73.781339
North Carolina,Center,NC,Center of North Carolina,35.5557,-79.3877
North Carolina,Capital,NC,Raleigh,35.771,-78.638
North Dakota,Center,ND,Center of North Dakota,47.4501,-100.4659
North Dakota,Capital,ND,Bismarck,48.813343,-100.779004
Ohio,Center,OH,Center of Ohio,40.2862,-82.7937
Ohio,Capital,OH,Columbus,39.962245,-83.000647
Oklahoma,Center,OK,Center of Oklahoma,35.5889,-97.4943
Oklahoma,Capital,OK,Oklahoma City,35.482309,-97.534994
Oregon,Center,OR,Center of Oregon,43.9336,-120.5583
Oregon,Capital,OR,Salem,44.931109,-123.029159
Pennsylvania,Center,PA,Center of Pennsylvania,40.8781,-77.7996
Pennsylvania,Capital,PA,Harrisburg,40.269789,-76.875613
Rhode Island,Center,RI,Center of Rhode Island,41.6762,-71.5562
Rhode Island,Capital,RI,Providence,41.82355,-71.422132
South Carolina,Center,SC,Center of South Carolina,33.9169,-80.8964
South Carolina,Capital,SC,Columbia,34,-81.035
South Dakota,Center,SD,Center of South Dakota,44.4443,-100.2263
South Dakota,Capital,SD,Pierre,44.367966,-100.336378
Tennessee,Center,TN,Center of Tennessee,35.858,-86.3505
Tennessee,Capital,TN,Nashville,36.165,-86.784
Texas,Center,TX,Center of Texas,31.4757,-99.3312
Texas,Capital,TX,Austin,30.266667,-97.75
Utah,Center,UT,Center of Utah,39.3055,-111.6703
Utah,Capital,UT,Salt Lake City,40.7547,-111.892622
Vermont,Center,VT,Center of Vermont,44.0687,-72.6658
Vermont,Capital,VT,Montpelier,44.26639,-72.57194
Virginia,Center,VA,Center of Virginia,37.5215,-78.8537
Virginia,Capital,VA,Richmond,37.54,-77.46
Washington,Center,WA,Center of Washington,47.3826,-120.4472
Washington,Capital,WA,Olympia,47.042418,-122.893077
West Virginia,Center,WV,Center of West Virginia,38.6409,-80.6227
West Virginia,Capital,WV,Charleston,38.349497,-81.633294
Wisconsin,Center,WI,Center of Wisconsin,44.6243,-89.9941
Wisconsin,Capital,WI,Madison,43.074722,-89.384444
Wyoming,Center,WY,Center of Wyoming,42.9957,-107.5512
Wyoming,Capital,WY,Cheyenne,41.145548,-104.802042
